,brand_name,brand_link,#_of_images
65,BOOK MY SHOW,https://www.advertgallery.com/product-category/advertisements-by-brand/book-my-show/,6
66,BOROPLUS,https://www.advertgallery.com/product-category/advertisements-by-brand/boroplus/,6
67,BOSCH,https://www.advertgallery.com/product-category/advertisements-by-brand/bosch/,36
68,BOSE,https://www.advertgallery.com/product-category/advertisements-by-brand/bose/,18
69,BRAND FACTORY,https://www.advertgallery.com/product-category/advertisements-by-brand/brand-factory-advertisements/,86
70,BREITLING,https://www.advertgallery.com/product-category/advertisements-by-brand/breitling/,7
71,BRIGADE GROUP,https://www.advertgallery.com/product-category/advertisements-by-brand/brigade-group/,31
72,BRITANNIA,https://www.advertgallery.com/product-category/advertisements-by-brand/britannia/,2
73,BRITISH COUNCIL,https://www.advertgallery.com/product-category/advertisements-by-brand/british-council/,8
74,BURGER KING,https://www.advertgallery.com/product-category/advertisements-by-brand/burger-king/,2
75,BUTTERFLY,https://www.advertgallery.com/product-category/advertisements-by-brand/butterfly/,5
76,CALL HEALTH,https://www.advertgallery.com/product-category/advertisements-by-brand/call-health/,11
77,CALVIN KLEIN,https://www.advertgallery.com/product-category/advertisements-by-brand/calvin-klein/,1
78,CANARA BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/canara-bank/,8
79,CANDYSKIN,https://www.advertgallery.com/product-category/advertisements-by-brand/candyskin/,1
80,CANON,https://www.advertgallery.com/product-category/advertisements-by-brand/canon-advertisements-in-newspaper/,28
81,CARAPHIL.ORG,https://www.advertgallery.com/product-category/advertisements-by-brand/caraphil-org/,2
82,CARATLANE,https://www.advertgallery.com/product-category/advertisements-by-brand/caratlane/,37
83,CASAGRAND,https://www.advertgallery.com/product-category/advertisements-by-brand/casagrand/,51
84,CASIO,https://www.advertgallery.com/product-category/advertisements-by-brand/casio/,30
85,CAVINKARE,https://www.advertgallery.com/product-category/advertisements-by-brand/cavinkare/,1
86,CELIO,https://www.advertgallery.com/product-category/advertisements-by-brand/celio/,24
87,CENTRAL RETAIL,https://www.advertgallery.com/product-category/advertisements-by-brand/central-retail-newspaper-advertisements/,59
88,CENTRO,https://www.advertgallery.com/product-category/advertisements-by-brand/centro/,5
89,CENTURYPLY,https://www.advertgallery.com/product-category/advertisements-by-brand/centuryply/,3
90,CISCO,https://www.advertgallery.com/product-category/advertisements-by-brand/cisco/,1
91,CLARKS,https://www.advertgallery.com/product-category/advertisements-by-brand/clarks/,4
92,CLEAR TRIP,https://www.advertgallery.com/product-category/advertisements-by-brand/clear-trip/,2
93,CLOSEUP,https://www.advertgallery.com/product-category/advertisements-by-brand/closeup/,1
94,CLUB MAHINDRA,https://www.advertgallery.com/product-category/advertisements-by-brand/club-mahindra/,12
95,COCA COLA,https://www.advertgallery.com/product-category/advertisements-by-brand/coca-cola/,1
96,COCOON FERTILITY,https://www.advertgallery.com/product-category/advertisements-by-brand/cocoon-fertility/,13
97,COLGATE,https://www.advertgallery.com/product-category/advertisements-by-brand/colgate-newspaper-advertisements/,18
98,COLORPLUS,https://www.advertgallery.com/product-category/advertisements-by-brand/colorplus/,2
99,COMFORT,https://www.advertgallery.com/product-category/advertisements-by-brand/comfort/,5
100,CORPORATION BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/corporation-bank/,1
101,COTTONKING,https://www.advertgallery.com/product-category/advertisements-by-brand/cottonking/,10
102,COX & KINGS,https://www.advertgallery.com/product-category/advertisements-by-brand/cox-kings/,39
103,CREDAI,https://www.advertgallery.com/product-category/advertisements-by-brand/credai/,52
104,CROMA,https://www.advertgallery.com/product-category/advertisements-by-brand/croma-advertisements-in-newspaper/,38
105,CROMPTON,https://www.advertgallery.com/product-category/advertisements-by-brand/crompton/,1
106,CROSSWORD,https://www.advertgallery.com/product-category/advertisements-by-brand/crossword/,1
107,CUSHMAN & WAKEFIELD,https://www.advertgallery.com/product-category/advertisements-by-brand/cushman-wakefield/,5
108,CYBERCITY,https://www.advertgallery.com/product-category/advertisements-by-brand/cybercity/,2
109,D'DECOR,https://www.advertgallery.com/product-category/advertisements-by-brand/ddecor/,8
110,DABUR,https://www.advertgallery.com/product-category/advertisements-by-brand/dabur/,53
111,DAIKIN,https://www.advertgallery.com/product-category/advertisements-by-brand/daikin-ac-newspaper-advertisements/,23
112,DAMRO,https://www.advertgallery.com/product-category/advertisements-by-brand/damro/,29
113,DATSUN,https://www.advertgallery.com/product-category/advertisements-by-brand/datsun/,43
114,DELHI PUBLIC SCHOOL,https://www.advertgallery.com/product-category/advertisements-by-brand/delhi-public-school/,22
115,DELL,https://www.advertgallery.com/product-category/advertisements-by-brand/dell/,23
116,DISHTV,https://www.advertgallery.com/product-category/advertisements-by-brand/dishtv/,3
117,DLINK,https://www.advertgallery.com/product-category/advertisements-by-brand/dlink/,1
118,DMART,https://www.advertgallery.com/product-category/advertisements-by-brand/dmart/,19
119,DOLLAR,https://www.advertgallery.com/product-category/advertisements-by-brand/dollar/,10
120,DOMINO'S PIZZA,https://www.advertgallery.com/product-category/advertisements-by-brand/dominos-pizza/,11
121,DOODLERS,https://www.advertgallery.com/product-category/advertisements-by-brand/doodlers/,43
122,DOVE,https://www.advertgallery.com/product-category/advertisements-by-brand/dove/,30
123,DPAULS,https://www.advertgallery.com/product-category/advertisements-by-brand/dpauls/,66
124,DR BATRAS,https://www.advertgallery.com/product-category/advertisements-by-brand/dr-batras/,12
